ID,WAR,ERA,WHIP,WPA,K-BB%,BABIP,LOB%,IP/G,P/PA,RAA,RAR,WAA,Fastball,Slider,Curve,ChangeUP,Splitter,Sinker,Knurkle
SSG-1,-0.36,8.44,1.88,-0.39,13.0,0.38799999999999996,57.4,1.2,3.83,-5.9,-2.66,-0.57,-1.8,-2.5,0.0,0.0,0.5,0.0,0.0
KT-31,0.23,2.16,0.96,0.08,15.6,0.22699999999999998,75.8,1.0,4.19,1.97,2.94,0.12,0.0,-1.8,0.0,0.0,1.5,-0.8,0.0
LG-3,0.65,3.83,1.45,0.28,3.4,0.28600000000000003,79.8,5.7,3.8,2.19,9.05,0.11,-4.0,-0.2,4.8,0.0,0.0,5.3,0.0
KIA-62,1.47,1.62,1.5,0.83,-5.2,0.231,88.9,1.1,4.16,7.23,19.01,1.25,5.6,1.8,0.0,0.0,0.6,0.0,0.0
Å°¿ò-47,-0.05,8.1,1.5,0.01,10.0,0.28600000000000003,55.6,1.7,3.73,-2.26,-0.53,-0.14,-4.4,-0.9,-0.7,0.0,1.8,0.0,0.0
KT-59,0.48,0.93,1.35,0.23,0.0,0.273,92.3,0.6,3.43,4.63,5.66,0.35,2.6,-0.1,0.0,0.0,0.0,0.0,0.0
Å°¿ò-59,-0.64,16.5,2.33,-0.5,-11.8,0.278,31.3,0.9,4.82,-8.03,-7.28,-0.72,-3.0,-0.5,-1.1,-0.1,0.0,0.0,0.0
ÇÑÈ­-66,0.2,4.4,1.61,-0.49,-1.5,0.28600000000000003,79.2,1.4,4.03,1.19,2.93,0.01,-1.0,-1.1,0.1,1.6,0.7,0.0,0.0
µÎ»ê-28,0.05,4.76,1.41,-0.01,-8.0,0.188,66.7,0.9,4.4,0.16,0.9,-0.02,-1.5,1.5,-0.1,0.1,0.0,0.0,0.0
KT-38,-0.12,5.73,1.55,-0.44,-6.1,0.27,65.8,0.7,3.35,-1.75,0.24,-0.27,0.8,0.6,0.0,-1.3,0.0,0.0,0.0
µÎ»ê-67,-0.12,6.97,2.03,-0.37,-7.7,0.306,68.0,2.1,3.65,-2.09,-2.62,-0.26,0.2,-0.4,-0.1,0.0,-1.3,0.0,0.0
ÇÑÈ­-22,1.52,1.94,1.21,1.0,13.1,0.261,80.3,5.8,4.05,9.83,17.24,0.9,1.9,3.4,2.1,4.2,0.0,0.0,0.0
µÎ»ê-61,1.14,2.94,1.04,0.68,11.7,0.226,87.5,5.6,4.02,7.49,12.87,0.69,6.2,1.6,0.3,0.3,0.0,0.0,0.0
SSG-30,-0.01,6.97,2.03,0.04,5.7,0.414,70.8,1.3,4.15,-1.32,0.36,-0.14,-1.0,-2.0,-0.5,-0.2,0.0,0.0,0.0
»ï¼º-56,-0.22,9.31,1.76,-0.32,-2.2,0.3,44.9,4.8,4.02,-3.96,-2.04,-0.35,0.3,-1.7,-0.2,-0.8,0.0,0.0,0.0
Å°¿ò-11,0.21,4.09,1.18,0.66,6.5,0.154,80.4,1.0,4.09,0.94,4.1,0.06,-1.4,2.7,0.0,0.1,-0.1,0.0,0.0
KT-32,-0.64,7.04,1.91,-1.01,6.0,0.349,52.8,4.6,3.85,-10.79,-6.16,-0.94,-0.2,-2.9,-1.1,-6.9,0.0,0.1,0.0
Å°¿ò-20,0.47,3.41,1.51,-0.08,6.1,0.33299999999999996,74.3,5.3,3.94,0.68,7.12,-0.02,0.0,4.2,-3.0,0.9,0.0,0.8,0.0
NC-67,0.55,4.5,1.7,-0.11,9.9,0.358,74.6,5.0,4.3,2.34,7.46,0.15,2.9,3.3,-1.5,-1.3,0.0,-1.3,0.0
KT-28,-0.13,7.71,1.86,-0.18,2.9,0.304,58.8,1.4,3.47,-2.98,-1.14,-0.22,-1.8,0.0,-0.2,0.3,0.0,-0.4,0.0
·Ôµ¥-36,0.04,0.0,2.0,0.0,-50.0,0.0,100.0,1.0,5.5,0.64,0.4,0.03,0.8,-0.2,0.0,0.0,0.0,0.0,0.0
NC-19,0.73,0.77,1.2,0.31,16.7,0.353,93.3,0.9,3.98,6.03,8.75,0.58,0.3,-0.3,0.1,0.0,5.4,0.0,0.0
SSG-63,0.37,4.88,1.25,-0.1,14.4,0.262,67.2,4.0,4.38,1.15,5.3,0.05,3.7,-0.9,1.3,-0.4,0.1,-2.9,0.0
·Ôµ¥-67,-0.11,5.91,1.53,-0.18,4.7,0.28600000000000003,61.5,4.6,4.12,-5.16,0.74,-0.54,-0.3,-3.2,0.0,1.6,0.0,-2.8,0.0
ÇÑÈ­-20,0.53,4.12,1.14,-0.07,14.5,0.257,66.7,5.6,4.07,1.1,7.92,0.01,2.0,0.7,-0.9,1.6,0.0,0.2,0.0
SSG-13,-0.25,12.46,2.77,-0.26,-11.5,0.429,57.1,0.7,4.08,-3.25,-2.33,-0.31,-0.8,-0.2,-1.0,0.0,0.0,0.0,0.0
KT-58,-0.11,15.0,2.33,0.0,6.3,0.3,71.4,1.5,3.44,-3.14,-1.29,-0.15,-0.8,-1.9,0.0,-0.6,0.0,0.0,0.0
Å°¿ò-63,0.64,3.81,1.24,0.59,6.0,0.256,71.4,5.7,3.72,3.39,8.12,0.27,-1.2,6.8,0.0,-0.4,0.0,0.2,0.0
LG-53,0.07,4.85,1.69,-0.19,3.1,0.297,72.0,1.9,4.3,-0.77,1.56,-0.11,-1.3,0.8,-0.1,0.6,0.0,0.0,0.0
KIA-2,-0.02,0.0,3.0,0.0,0.0,0.5,50.0,0.7,5.0,-0.56,-0.22,-0.03,-1.4,0.0,0.0,0.0,0.0,0.0,0.0
µÎ»ê-17,1.17,1.37,1.27,0.7,14.1,0.326,88.0,1.2,4.26,8.3,14.6,0.91,10.1,-0.5,0.2,0.0,-0.6,0.0,0.0
