ID,WAR,G,OPS,wOBA,wRC+,WPA,BB/K,IsoP,IsoD,BABIP,Spd,pLI,Clutch,P/PA
µÎ»ê-49,-0.02,4,0,0,-131.4,-0.01,0,0,0,0,0,-0.01,-0.03,1
NC-25,1.73,34,1.07,0.477,178.2,1.59,1.54,0.282,0.115,0.33,4.4,1.59,1.19,3.62
SSG-36,0,1,0,0,0,0,0,0,0,0,0,0,0,0
·Ôµ¥-7,0.17,28,0.665,0.353,100.8,0.04,0.67,0,0.165,0.4,0.8,0.04,-0.06,4.34
·Ôµ¥-35,0,1,0,0,0,0,0,0,0,0,0,0,0,0
NC-46,0,1,0,0,0,0,0,0,0,0,0,0,0,0
LG-13,0.27,21,0.747,0.342,102.5,-0.97,0.55,0.209,0.12,0.25,1.9,-0.97,-0.1,4.1
KIA-10,-0.06,2,0.472,0.233,20.4,0.07,0,0.125,0.097,0.333,3.9,0.07,-0.04,4.56
µÎ»ê-5,-0.05,1,0,0,-131.4,0,0,0,0,0,0,0,0,4.5
µÎ»ê-23,-0.19,19,0.321,0.157,-27.3,-0.14,0.5,0,0.054,0.154,5.8,-0.14,-0.21,2.94
µÎ»ê-3,0.36,20,0.772,0.377,117.1,-0.06,0.5,0.07,0.098,0.394,3.9,-0.06,0.09,4.24
»ï¼º-13,0.7,36,0.746,0.343,93.7,0.38,0.86,0.071,0.077,0.339,5.6,0.38,0.6,4.13
LG-32,-0.02,1,0,0,-131.4,0,0,0,0,0,0,0,0,1
NC-28,0.29,10,1.183,0.521,204,-0.09,0.17,0.36,0.023,0.438,3.4,-0.09,0.13,3.85
SSG-10,0.14,15,0.758,0.349,97.8,-0.15,0.39,0.188,0.071,0.281,1,-0.15,-0.18,4.08
Å°¿ò-5,0.08,14,1.167,0.517,210.4,-0.03,1,0.333,0.167,0.5,3.9,-0.03,0.02,3.75
µÎ»ê-53,0.5,34,0.787,0.36,114.5,0,0.32,0.177,0.056,0.344,1.6,0,0.08,4.2
SSG-19,-0.19,2,0,0,-131.4,-0.09,0,0,0,0,0,-0.09,-0.15,2.43
NC-33,0.49,29,0.763,0.367,109,0.25,1.25,0.089,0.119,0.321,3.4,0.25,0.06,3.91
·Ôµ¥-60,-0.18,2,0,0,-131.4,-0.09,0,0,0,0,0,-0.09,-0.13,3.57
LG-7,0.45,33,0.736,0.338,94.6,-0.24,0.93,0.122,0.102,0.299,5.7,-0.24,-0.02,3.92
LG-55,0.69,24,0.843,0.384,130.7,0.62,0.29,0.207,0.05,0.314,2.1,0.62,0.42,3.7
µÎ»ê-24,-0.07,21,0.549,0.271,49,-0.19,0.46,0.044,0.071,0.278,2.3,-0.19,-0.29,3.98
KIA-13,0.43,22,0.736,0.358,103.9,0.03,1.27,0.078,0.127,0.315,3.3,0.03,0.21,4.33
KT-35,-0.27,16,0.412,0.186,-12.7,-0.33,0.06,0,0.025,0.462,2.8,-0.33,-0.25,3.56
Å°¿ò-33,0,1,0,0,0,0,0,0,0,0,0,0,0,0
